Program,Instructions,CPU 时间 (s),Parallelism,CPI,L1miss,L2miss,L3miss,L1命中率,L2命中率,L3命中率
native,4285978105,0.53343,8034752.648,0.4567,141486856,4000270,192569,-3.3077,0.0459,0.9541
cache_friendly,4230129443,0.39084,10823174.2989,0.3478,13510594,1364932,21199,0.2622,0.0153,0.9847
